key,description,type
NoEffortLive,"If you made no effort at all to look after your health and ensure your safety, what do you think the chances would be that you would live to be 79 or more?  (0 = No chance, 100 = Definitely)",int
EffortHealth,"How much effort do you make to look after your health and ensure your safety these days? (0= No effort at all, 100= Maximum effort you could make)",int
Agency1,"I am in full control of what I do (1= strongly disagree, 7= strongly agree)",int
Agency2,"I am just an instrument in the hands of somebody or something else (1= strongly disagree, 7= strongly agree)",int
Agency3,"My actions just happen without my intention (1= strongly disagree, 7= strongly agree)",int
Agency4,"I am the author of my actions (1= strongly disagree, 7= strongly agree)",int
Agency5,"The consequences of my actions feel like they don?t logically follow my actions (1= strongly disagree, 7= strongly agree)",int
Agency6,"My movements are automatic - my body simply makes them (1= strongly disagree, 7= strongly agree)",int
Agency7,"The outcomes of my actions generally surprise me (1= strongly disagree, 7= strongly agree)",int
Agency8,"Things I do are subject only to my free will (1= strongly disagree, 7= strongly agree)",int
Agency9,"The decision whether and when to act is within my hands (1= strongly disagree, 7= strongly agree)",int
Agency10,"Nothing I do is actually voluntary (1= strongly disagree, 7= strongly agree)",int
Agency11,"While I am in action, I feel like I am a remote controlled robot (1= strongly disagree, 7= strongly agree)",int
Agency12,"My behavior is planned by me from the very beginning to the very end (1= strongly disagree, 7= strongly agree)",int
Agency13,"I am completely responsible for everything that results from my actions (1= strongly disagree, 7= strongly agree)",int
PositiveRightNow1,"How positive do you feel about: Your life right now? (0= very negative, 100 = very positive)",int
PositiveRightNow2,"How positive do you feel about: The world right now? (0= very negative, 100 = very positive)",int
PositiveRightNow3,"How positive do you feel about: Things right now? (0= very negative, 100 = very positive)",int
Certain1,"How certain are you that your life and the world now are as positive or negative as you reported? Your life right now (0= Very uncertain, 100= Very certain)",int
Certain2,"How certain are you that your life and the world now are as positive or negative as you reported? The world right now (0= Very uncertain, 100= Very certain)",int
OptimisticLife1,"How optimistic do you feel about your life in: 1 month from now (0= very pessimistic, 100= very optimistic)",int
OptimisticLife2,"How optimistic do you feel about your life in: 1 year from now (0= very pessimistic, 100= very optimistic)",int
OptimisticLife3,"How optimistic do you feel about your life in: 10 years from now (0= very pessimistic, 100= very optimistic)",int
OptimisticLife4,"How optimistic do you feel about your life in: 20 years from now (0= very pessimistic, 100= very optimistic)",int
OptimisticLife5,"How optimistic do you feel about your life in: 50 years from now (0= very pessimistic, 100= very optimistic)",int
OptimisticLife6,"How optimistic do you feel about your life in: 80 years from now (0= very pessimistic, 100= very optimistic)",int
OptimisticWorld1,"How optimistic do you feel about the world in: 1 month from now (0= very pessimistic, 100= very optimistic)",int
OptimisticWorld2,"How optimistic do you feel about the world in:1 year from now (0= very pessimistic, 100= very optimistic)",int
OptimisticWorld3,"How optimistic do you feel about the world in: 10 years from now (0= very pessimistic, 100= very optimistic)",int
OptimisticWorld4,"How optimistic do you feel about the world in: 20 years from now (0= very pessimistic, 100= very optimistic)",int
OptimisticWorld5,"How optimistic do you feel about the world in: 50 years from now (0= very pessimistic, 100= very optimistic)",int
OptimisticWorld6,"How optimistic do you feel about the world in: 80 years from now (0= very pessimistic, 100= very optimistic)",int
OptimisticWorld7,"How optimistic do you feel about the world in: 100 years from now (0= very pessimistic, 100= very optimistic)",int
OptimisticWorld8,"How optimistic do you feel about the world in: 1,000 years from now (0= very pessimistic, 100= very optimistic)",int
CertainFutureLife1,"Think about how positive/negative you expect your life will be at each of the following time points. How certain are you that it will be as you expect?: 1 month from now (0= Very uncertain, 100= Very certain)",int
CertainFutureLife2,"Think about how positive/negative you expect your life will be at each of the following time points. How certain are you that it will be as you expect?: 1 year from now (0= Very uncertain, 100= Very certain)",int
CertainFutureLife4,"Think about how positive/negative you expect your life will be at each of the following time points. How certain are you that it will be as you expect?: 10 years from now (0= Very uncertain, 100= Very certain)",int
CertainFutureLife5,"Think about how positive/negative you expect your life will be at each of the following time points. How certain are you that it will be as you expect?: 50 years from now (0= Very uncertain, 100= Very certain)",int
CertainFutureLife6,"Think about how positive/negative you expect your life will be at each of the following time points. How certain are you that it will be as you expect?: 80 years from now (0= Very uncertain, 100= Very certain)",int
CertainFutureWorld1,"Think about how positive/negative you expect the world will be at each of the following time points. How certain are you that it will be as you expect?: 1 month from now (0= Very uncertain, 100= Very certain)",int
CertainFutureWorld2,"Think about how positive/negative you expect the world will be at each of the following time points. How certain are you that it will be as you expect?: 1 year from now (0= Very uncertain, 100= Very certain)",int
CertainFutureWorld4,"Think about how positive/negative you expect the world will be at each of the following time points. How certain are you that it will be as you expect?: 10 years from now (0= Very uncertain, 100= Very certain)",int
CertainFutureWorld5,"Think about how positive/negative you expect the world will be at each of the following time points. How certain are you that it will be as you expect?:50 years from now (0= Very uncertain, 100= Very certain)",int
CertainFutureWorld6,"Think about how positive/negative you expect the world will be at each of the following time points. How certain are you that it will be as you expect?: 80 years from now (0= Very uncertain, 100= Very certain)",int
CertainFutureWorld7,"Think about how positive/negative you expect the world will be at each of the following time points. How certain are you that it will be as you expect?: 100 years from now (0= Very uncertain, 100= Very certain)",int
CertainFutureWorld8,"Think about how positive/negative you expect the world will be at each of the following time points. How certain are you that it will be as you expect?: 1,000 years from now (0= Very uncertain, 100= Very certain)",int
